Initialization,Diversity,Distance,Average Objective,Std Objective,Min Objective
dirichlet,gaussian,euclidean,24.504500021173477,0.7874695181044439,22.980972157482007
dirichlet,gaussian,mahalanobis,250.42996234042315,5.264031426780392,243.01709525060969
dirichlet,gaussian,cosine,8.715295566733086,0.09903182255446483,8.370406170284216
dirichlet,reinitialize,euclidean,24.01519994041796,5.124838684108273,19.650630939378672
dirichlet,reinitialize,mahalanobis,242.6877970488624,7.73409774462752,224.36460805096283
dirichlet,reinitialize,cosine,10.033305781600342,0.7942787256585093,8.731620275943637
uniform,gaussian,euclidean,24.65163164448202,0.8251531324476014,22.880937715314694
uniform,gaussian,mahalanobis,249.660075908667,6.993922931559667,236.78969407514586
uniform,gaussian,cosine,8.824005199353072,0.32481063572859054,8.469667262652152
uniform,reinitialize,euclidean,24.782619332954987,6.8888956270035795,19.496978703298183
uniform,reinitialize,mahalanobis,258.71960069141886,92.43397772269854,217.281344667005
uniform,reinitialize,cosine,9.804569879239784,0.8592087930094807,8.45377836511912
